sentence,word,label
Chalo chalte hain warna late ho jayenge,late,ENG
Chalo chalte hain warna late ho jayenge,ho,URD
Chalo chalte hain warna late ho jayenge,jayenge,URD
Mera phone ki battery low ho gayi hai,Mera,URD
Mera phone ki battery low ho gayi hai,phone,ENG
Mera phone ki battery low ho gayi hai,ki,URD
Mera phone ki battery low ho gayi hai,battery,ENG
Mera phone ki battery low ho gayi hai,low,ENG
Mera phone ki battery low ho gayi hai,ho,URD
Mera phone ki battery low ho gayi hai,gayi,URD
Mera phone ki battery low ho gayi hai,hai,URD
Uski shaadi next month hai,Uski,URD
Uski shaadi next month hai,shaadi,URD
Uski shaadi next month hai,next,ENG
Uski shaadi next month hai,month,ENG
Uski shaadi next month hai,hai,URD
Is video ko like aur share zaroor karna,Is,URD
Is video ko like aur share zaroor karna,video,ENG
Is video ko like aur share zaroor karna,ko,URD
Is video ko like aur share zaroor karna,like,ENG
Is video ko like aur share zaroor karna,aur,URD
Is video ko like aur share zaroor karna,share,ENG
Is video ko like aur share zaroor karna,zaroor,URD
Is video ko like aur share zaroor karna,karna,URD
Bhookh lagi hai kuch order karte hain,Bhookh,URD
Bhookh lagi hai kuch order karte hain,lagi,URD
Bhookh lagi hai kuch order karte hain,hai,URD
Bhookh lagi hai kuch order karte hain,kuch,URD
Bhookh lagi hai kuch order karte hain,order,ENG
Bhookh lagi hai kuch order karte hain,karte,URD
Bhookh lagi hai kuch order karte hain,hain,URD
Mujhe wo movie bohot pasand ayi thi,Mujhe,URD
Mujhe wo movie bohot pasand ayi thi,wo,URD
Mujhe wo movie bohot pasand ayi thi,movie,ENG
Mujhe wo movie bohot pasand ayi thi,bohot,URD
Mujhe wo movie bohot pasand ayi thi,pasand,URD
Mujhe wo movie bohot pasand ayi thi,ayi,URD
Mujhe wo movie bohot pasand ayi thi,thi,URD
Class mein aaj attendance nahi hui,Class,ENG
Class mein aaj attendance nahi hui,mein,URD
Class mein aaj attendance nahi hui,aaj,URD
Class mein aaj attendance nahi hui,attendance,ENG
Class mein aaj attendance nahi hui,nahi,URD
Class mein aaj attendance nahi hui,hui,URD
Bas ek second ruko main check karta hoon,Bas,URD
Bas ek second ruko main check karta hoon,ek,URD
Bas ek second ruko main check karta hoon,second,ENG
Bas ek second ruko main check karta hoon,ruko,URD
Bas ek second ruko main check karta hoon,main,URD
Bas ek second ruko main check karta hoon,check,ENG
Bas ek second ruko main check karta hoon,karta,URD
Bas ek second ruko main check karta hoon,hoon,URD
Yeh internet connection bohot slow chal raha hai,Yeh,URD
Yeh internet connection bohot slow chal raha hai,internet,ENG
Yeh internet connection bohot slow chal raha hai,connection,ENG
Yeh internet connection bohot slow chal raha hai,bohot,URD
Yeh internet connection bohot slow chal raha hai,slow,ENG
Yeh internet connection bohot slow chal raha hai,chal,URD
Yeh internet connection bohot slow chal raha hai,raha,URD
Yeh internet connection bohot slow chal raha hai,hai,URD
Kaam se thak ke ghar aya hoon,Kaam,URD
Kaam se thak ke ghar aya hoon,se,URD
Kaam se thak ke ghar aya hoon,thak,URD
Kaam se thak ke ghar aya hoon,ke,URD
Kaam se thak ke ghar aya hoon,ghar,URD
Kaam se thak ke ghar aya hoon,aya,URD
Kaam se thak ke ghar aya hoon,hoon,URD
I think humein plan change karna chahiye,I,ENG
I think humein plan change karna chahiye,think,ENG
I think humein plan change karna chahiye,humein,URD
I think humein plan change karna chahiye,plan,ENG
I think humein plan change karna chahiye,change,ENG
I think humein plan change karna chahiye,karna,URD
I think humein plan change karna chahiye,chahiye,URD
Subah jaldi uthna bohot mushkil hai,Subah,URD
Subah jaldi uthna bohot mushkil hai,jaldi,URD
Subah jaldi uthna bohot mushkil hai,uthna,URD
Subah jaldi uthna bohot mushkil hai,bohot,URD
Subah jaldi uthna bohot mushkil hai,mushkil,URD
Subah jaldi uthna bohot mushkil hai,hai,URD
Mera laptop kharab ho gaya hai suddenly,Mera,URD
Mera laptop kharab ho gaya hai suddenly,laptop,ENG
Mera laptop kharab ho gaya hai suddenly,kharab,URD
Mera laptop kharab ho gaya hai suddenly,ho,URD
Mera laptop kharab ho gaya hai suddenly,gaya,URD
Mera laptop kharab ho gaya hai suddenly,hai,URD
Mera laptop kharab ho gaya hai suddenly,suddenly,ENG
Ammi ne biryani banai hai aaj,Ammi,URD
Ammi ne biryani banai hai aaj,ne,URD
Ammi ne biryani banai hai aaj,biryani,URD
Ammi ne biryani banai hai aaj,banai,URD
Ammi ne biryani banai hai aaj,hai,URD
Ammi ne biryani banai hai aaj,aaj,URD
Yaar tumhe pata hai kal weather kaisa hoga,Yaar,URD
Yaar tumhe pata hai kal weather kaisa hoga,tumhe,URD
Yaar tumhe pata hai kal weather kaisa hoga,pata,URD
Yaar tumhe pata hai kal weather kaisa hoga,hai,URD
Yaar tumhe pata hai kal weather kaisa hoga,kal,URD
Yaar tumhe pata hai kal weather kaisa hoga,weather,ENG
Yaar tumhe pata hai kal weather kaisa hoga,kaisa,URD
Yaar tumhe pata hai kal weather kaisa hoga,hoga,URD
Office ka kaam khatam nahi ho raha,Office,ENG
Office ka kaam khatam nahi ho raha,ka,URD
Office ka kaam khatam nahi ho raha,kaam,URD
Office ka kaam khatam nahi ho raha,khatam,URD
Office ka kaam khatam nahi ho raha,nahi,URD
Office ka kaam khatam nahi ho raha,ho,URD
Office ka kaam khatam nahi ho raha,raha,URD
Chai peene chalein warna neend a rahi hai,Chai,URD
Chai peene chalein warna neend a rahi hai,peene,URD
Chai peene chalein warna neend a rahi hai,chalein,URD
Chai peene chalein warna neend a rahi hai,warna,URD
Chai peene chalein warna neend a rahi hai,neend,URD
Chai peene chalein warna neend a rahi hai,a,URD
Chai peene chalein warna neend a rahi hai,rahi,URD
Chai peene chalein warna neend a rahi hai,hai,URD
Mujhe lagta hai ye decision wrong hai,Mujhe,URD
Mujhe lagta hai ye decision wrong hai,lagta,URD
Mujhe lagta hai ye decision wrong hai,hai,URD
Mujhe lagta hai ye decision wrong hai,ye,URD
Mujhe lagta hai ye decision wrong hai,decision,ENG
Mujhe lagta hai ye decision wrong hai,wrong,ENG
Mujhe lagta hai ye decision wrong hai,hai,URD
Kal se mera diet start ho raha hai,Kal,URD
Kal se mera diet start ho raha hai,se,URD
Kal se mera diet start ho raha hai,mera,URD
Kal se mera diet start ho raha hai,diet,ENG
Kal se mera diet start ho raha hai,start,URD
Kal se mera diet start ho raha hai,ho,URD
Kal se mera diet start ho raha hai,raha,URD
Kal se mera diet start ho raha hai,hai,URD
Group project ka kaam divide kar lete hain,Group,ENG
Group project ka kaam divide kar lete hain,project,ENG
Group project ka kaam divide kar lete hain,ka,URD
Group project ka kaam divide kar lete hain,kaam,URD
Group project ka kaam divide kar lete hain,divide,ENG
Group project ka kaam divide kar lete hain,kar,URD
Group project ka kaam divide kar lete hain,lete,URD
Group project ka kaam divide kar lete hain,hain,URD
Mera dil nahi kar raha kuch karne ka,Mera,URD
Mera dil nahi kar raha kuch karne ka,dil,URD
Mera dil nahi kar raha kuch karne ka,nahi,URD
Mera dil nahi kar raha kuch karne ka,kar,URD
Mera dil nahi kar raha kuch karne ka,raha,URD
Mera dil nahi kar raha kuch karne ka,kuch,URD
Mera dil nahi kar raha kuch karne ka,karne,URD
Mera dil nahi kar raha kuch karne ka,ka,URD
Abhi tak reply nahi aya unka,Abhi,URD
Abhi tak reply nahi aya unka,tak,URD
Abhi tak reply nahi aya unka,reply,ENG
Abhi tak reply nahi aya unka,nahi,URD
Abhi tak reply nahi aya unka,aya,URD
Abhi tak reply nahi aya unka,unka,URD
Bhai wo match kitna exciting tha,Bhai,URD
Bhai wo match kitna exciting tha,wo,URD
Bhai wo match kitna exciting tha,match,ENG
Bhai wo match kitna exciting tha,kitna,URD
Bhai wo match kitna exciting tha,exciting,ENG
Bhai wo match kitna exciting tha,tha,URD
Mujhe thora tension ho raha hai exam ka,Mujhe,URD
Mujhe thora tension ho raha hai exam ka,thora,URD
Mujhe thora tension ho raha hai exam ka,tension,ENG
Mujhe thora tension ho raha hai exam ka,ho,URD
Mujhe thora tension ho raha hai exam ka,raha,URD
Mujhe thora tension ho raha hai exam ka,hai,URD
Mujhe thora tension ho raha hai exam ka,exam,ENG
Mujhe thora tension ho raha hai exam ka,ka,URD
Chalo movie dekhne chalte hain tonight,Chalo,URD
Chalo movie dekhne chalte hain tonight,movie,ENG
Chalo movie dekhne chalte hain tonight,dekhne,URD
Chalo movie dekhne chalte hain tonight,chalte,URD
Chalo movie dekhne chalte hain tonight,hain,URD
Chalo movie dekhne chalte hain tonight,tonight,ENG
Yeh update install karne mein time lagega,Yeh,URD
Yeh update install karne mein time lagega,update,ENG
Yeh update install karne mein time lagega,install,URD
Yeh update install karne mein time lagega,karne,URD
Yeh update install karne mein time lagega,mein,URD
Yeh update install karne mein time lagega,time,ENG
Yeh update install karne mein time lagega,lagega,URD
Mummy papa aj shaam ko ayenge,Mummy,URD
Mummy papa aj shaam ko ayenge,papa,URD
Mummy papa aj shaam ko ayenge,aj,URD
Mummy papa aj shaam ko ayenge,shaam,URD
Mummy papa aj shaam ko ayenge,ko,URD
Mummy papa aj shaam ko ayenge,ayenge,URD
I am so tired yaar bilkul thak gaya,I,ENG
I am so tired yaar bilkul thak gaya,am,ENG
I am so tired yaar bilkul thak gaya,so,ENG
I am so tired yaar bilkul thak gaya,tired,ENG
I am so tired yaar bilkul thak gaya,yaar,URD
I am so tired yaar bilkul thak gaya,bilkul,URD
I am so tired yaar bilkul thak gaya,thak,URD
I am so tired yaar bilkul thak gaya,gaya,URD
Kal ka lecture bohot boring tha honestly,Kal,URD
Kal ka lecture bohot boring tha honestly,ka,URD
Kal ka lecture bohot boring tha honestly,lecture,ENG
Kal ka lecture bohot boring tha honestly,bohot,URD
Kal ka lecture bohot boring tha honestly,boring,ENG
Kal ka lecture bohot boring tha honestly,tha,URD
Kal ka lecture bohot boring tha honestly,honestly,MIX
Mujhe ye job offer accept karna chahiye ya nahi,Mujhe,URD
Mujhe ye job offer accept karna chahiye ya nahi,ye,URD
Mujhe ye job offer accept karna chahiye ya nahi,job,ENG
Mujhe ye job offer accept karna chahiye ya nahi,offer,ENG
Mujhe ye job offer accept karna chahiye ya nahi,accept,ENG
Mujhe ye job offer accept karna chahiye ya nahi,karna,URD
Mujhe ye job offer accept karna chahiye ya nahi,chahiye,URD
Mujhe ye job offer accept karna chahiye ya nahi,ya,URD
Mujhe ye job offer accept karna chahiye ya nahi,nahi,URD
Bhai signal nahi a raha phone pe,Bhai,URD
Bhai signal nahi a raha phone pe,signal,ENG
Bhai signal nahi a raha phone pe,nahi,URD
Bhai signal nahi a raha phone pe,a,URD
Bhai signal nahi a raha phone pe,raha,URD
Bhai signal nahi a raha phone pe,phone,ENG
Bhai signal nahi a raha phone pe,pe,URD
Ghar pohanchte hi message kar dena,Ghar,URD
Ghar pohanchte hi message kar dena,pohanchte,URD
Ghar pohanchte hi message kar dena,hi,URD
Ghar pohanchte hi message kar dena,message,ENG
Ghar pohanchte hi message kar dena,kar,URD
Ghar pohanchte hi message kar dena,dena,URD
Aj ka mausam bohot pleasant hai,Aj,URD
Aj ka mausam bohot pleasant hai,ka,URD
Aj ka mausam bohot pleasant hai,mausam,URD
Aj ka mausam bohot pleasant hai,bohot,URD
Aj ka mausam bohot pleasant hai,pleasant,ENG
Aj ka mausam bohot pleasant hai,hai,URD
Yaar mujhe koi motivation nahi mil raha,Yaar,URD
Yaar mujhe koi motivation nahi mil raha,mujhe,URD
Yaar mujhe koi motivation nahi mil raha,koi,URD
Yaar mujhe koi motivation nahi mil raha,motivation,ENG
Yaar mujhe koi motivation nahi mil raha,nahi,URD
Yaar mujhe koi motivation nahi mil raha,mil,URD
Yaar mujhe koi motivation nahi mil raha,raha,URD
Kal ki meeting postpone ho gayi hai,Kal,URD
Kal ki meeting postpone ho gayi hai,ki,URD
Kal ki meeting postpone ho gayi hai,meeting,ENG
Kal ki meeting postpone ho gayi hai,postpone,ENG
Kal ki meeting postpone ho gayi hai,ho,URD
Kal ki meeting postpone ho gayi hai,gayi,URD
Kal ki meeting postpone ho gayi hai,hai,URD
Mera result kal announce hoga,Mera,URD
Mera result kal announce hoga,result,URD
Mera result kal announce hoga,kal,URD
Mera result kal announce hoga,announce,ENG
Mera result kal announce hoga,hoga,URD
Bus miss ho gayi mujhse,Bus,ENG
Bus miss ho gayi mujhse,miss,ENG
Bus miss ho gayi mujhse,ho,URD
Bus miss ho gayi mujhse,gayi,URD
Bus miss ho gayi mujhse,mujhse,URD
Yeh coffee bohot strong bani hai,Yeh,URD
Yeh coffee bohot strong bani hai,coffee,ENG
Yeh coffee bohot strong bani hai,bohot,URD
Yeh coffee bohot strong bani hai,strong,ENG
Yeh coffee bohot strong bani hai,bani,URD
Yeh coffee bohot strong bani hai,hai,URD
Kya tum free ho abhi,Kya,URD
Kya tum free ho abhi,tum,URD
Kya tum free ho abhi,free,ENG
Kya tum free ho abhi,ho,URD
Kya tum free ho abhi,abhi,URD
Mujhe ye news sunke shock laga,Mujhe,URD
Mujhe ye news sunke shock laga,ye,URD
Mujhe ye news sunke shock laga,news,ENG
Mujhe ye news sunke shock laga,sunke,URD
Mujhe ye news sunke shock laga,shock,ENG
Mujhe ye news sunke shock laga,laga,URD
Sab kuch plan ke mutabiq ho raha hai,Sab,URD
Sab kuch plan ke mutabiq ho raha hai,kuch,URD
Sab kuch plan ke mutabiq ho raha hai,plan,ENG
Sab kuch plan ke mutabiq ho raha hai,ke,URD
Sab kuch plan ke mutabiq ho raha hai,mutabiq,URD
Sab kuch plan ke mutabiq ho raha hai,ho,URD
Sab kuch plan ke mutabiq ho raha hai,raha,URD
Sab kuch plan ke mutabiq ho raha hai,hai,URD
Weekend pe ghar clean karna hai poora,Weekend,ENG
Weekend pe ghar clean karna hai poora,pe,URD
Weekend pe ghar clean karna hai poora,ghar,URD
Weekend pe ghar clean karna hai poora,clean,ENG
Weekend pe ghar clean karna hai poora,karna,URD
Weekend pe ghar clean karna hai poora,hai,URD
Weekend pe ghar clean karna hai poora,poora,URD
Mera code compile nahi ho raha kal se,Mera,URD
Mera code compile nahi ho raha kal se,code,ENG
Mera code compile nahi ho raha kal se,compile,ENG
Mera code compile nahi ho raha kal se,nahi,URD
Mera code compile nahi ho raha kal se,ho,URD
Mera code compile nahi ho raha kal se,raha,URD
Mera code compile nahi ho raha kal se,kal,URD
Mera code compile nahi ho raha kal se,se,URD
Itni garmi hai bahar nikalne ka dil nahi karta,Itni,URD
Itni garmi hai bahar nikalne ka dil nahi karta,garmi,URD
Itni garmi hai bahar nikalne ka dil nahi karta,hai,URD
Itni garmi hai bahar nikalne ka dil nahi karta,bahar,URD
Itni garmi hai bahar nikalne ka dil nahi karta,nikalne,URD
Itni garmi hai bahar nikalne ka dil nahi karta,ka,URD
Itni garmi hai bahar nikalne ka dil nahi karta,dil,URD
Itni garmi hai bahar nikalne ka dil nahi karta,nahi,URD
Itni garmi hai bahar nikalne ka dil nahi karta,karta,URD
Bhai yeh app bohot slow chal rahi hai,Bhai,URD
Bhai yeh app bohot slow chal rahi hai,yeh,URD
Bhai yeh app bohot slow chal rahi hai,app,ENG
Bhai yeh app bohot slow chal rahi hai,bohot,URD
Bhai yeh app bohot slow chal rahi hai,slow,ENG
Bhai yeh app bohot slow chal rahi hai,chal,URD
Bhai yeh app bohot slow chal rahi hai,rahi,URD
Bhai yeh app bohot slow chal rahi hai,hai,URD
Mujhe office se late reply mila,Mujhe,URD
Mujhe office se late reply mila,office,ENG
Mujhe office se late reply mila,se,URD
Mujhe office se late reply mila,late,ENG
Mujhe office se late reply mila,reply,ENG
Mujhe office se late reply mila,mila,URD
Kal exam hai stress bohot ho raha hai,Kal,URD
Kal exam hai stress bohot ho raha hai,exam,ENG
Kal exam hai stress bohot ho raha hai,hai,URD
Kal exam hai stress bohot ho raha hai,stress,ENG
Kal exam hai stress bohot ho raha hai,bohot,URD
Kal exam hai stress bohot ho raha hai,ho,URD
Kal exam hai stress bohot ho raha hai,raha,URD
Kal exam hai stress bohot ho raha hai,hai,URD
Yaar mera wifi ka router hang ho gaya hai,Yaar,URD
Yaar mera wifi ka router hang ho gaya hai,mera,URD
Yaar mera wifi ka router hang ho gaya hai,wifi,ENG
Yaar mera wifi ka router hang ho gaya hai,ka,URD
Yaar mera wifi ka router hang ho gaya hai,router,ENG
Yaar mera wifi ka router hang ho gaya hai,hang,ENG
Yaar mera wifi ka router hang ho gaya hai,ho,URD
Yaar mera wifi ka router hang ho gaya hai,gaya,URD
Yaar mera wifi ka router hang ho gaya hai,hai,URD
Subah se sar dard ho raha hai bohot,Subah,URD
Subah se sar dard ho raha hai bohot,se,URD
Subah se sar dard ho raha hai bohot,sar,URD
Subah se sar dard ho raha hai bohot,dard,URD
Subah se sar dard ho raha hai bohot,ho,URD
Subah se sar dard ho raha hai bohot,raha,URD
Subah se sar dard ho raha hai bohot,hai,URD
Subah se sar dard ho raha hai bohot,bohot,URD
Mera flight cancel ho gayi thi last week,Mera,URD
Mera flight cancel ho gayi thi last week,flight,ENG
Mera flight cancel ho gayi thi last week,cancel,ENG
Mera flight cancel ho gayi thi last week,ho,URD
Mera flight cancel ho gayi thi last week,gayi,URD
Mera flight cancel ho gayi thi last week,thi,URD
Mera flight cancel ho gayi thi last week,last,ENG
Mera flight cancel ho gayi thi last week,week,ENG
Ammi ne bola ke jaldi so jao,Ammi,URD
Ammi ne bola ke jaldi so jao,ne,URD
Ammi ne bola ke jaldi so jao,bola,URD
Ammi ne bola ke jaldi so jao,ke,URD
Ammi ne bola ke jaldi so jao,jaldi,URD
Ammi ne bola ke jaldi so jao,so,URD
Ammi ne bola ke jaldi so jao,jao,URD
Yeh outfit kaisa lag raha hai mujhpe,Yeh,URD
Yeh outfit kaisa lag raha hai mujhpe,outfit,ENG
Yeh outfit kaisa lag raha hai mujhpe,kaisa,URD
Yeh outfit kaisa lag raha hai mujhpe,lag,URD
Yeh outfit kaisa lag raha hai mujhpe,raha,URD
Yeh outfit kaisa lag raha hai mujhpe,hai,URD
Yeh outfit kaisa lag raha hai mujhpe,mujhpe,URD
Mujhe apna schedule manage karna mushkil lag raha hai,Mujhe,URD
Mujhe apna schedule manage karna mushkil lag raha hai,apna,URD
Mujhe apna schedule manage karna mushkil lag raha hai,schedule,ENG
Mujhe apna schedule manage karna mushkil lag raha hai,manage,ENG
Mujhe apna schedule manage karna mushkil lag raha hai,karna,URD
Mujhe apna schedule manage karna mushkil lag raha hai,mushkil,URD
Mujhe apna schedule manage karna mushkil lag raha hai,lag,URD
Mujhe apna schedule manage karna mushkil lag raha hai,raha,URD
Mujhe apna schedule manage karna mushkil lag raha hai,hai,URD
Kal se gym start kar raha hoon finally,Kal,URD
Kal se gym start kar raha hoon finally,se,URD
Kal se gym start kar raha hoon finally,gym,ENG
Kal se gym start kar raha hoon finally,start,ENG
Kal se gym start kar raha hoon finally,kar,URD
Kal se gym start kar raha hoon finally,raha,URD
Kal se gym start kar raha hoon finally,hoon,URD
Kal se gym start kar raha hoon finally,finally,ENG
Yaar ye internship offer letter aya hai,Yaar,URD
Yaar ye internship offer letter aya hai,ye,URD
Yaar ye internship offer letter aya hai,internship,ENG
Yaar ye internship offer letter aya hai,offer,ENG
Yaar ye internship offer letter aya hai,letter,ENG
Yaar ye internship offer letter aya hai,aya,URD
Yaar ye internship offer letter aya hai,hai,URD
Mera mind kuch aur soch raha hai abhi,Mera,URD
Mera mind kuch aur soch raha hai abhi,mind,ENG
Mera mind kuch aur soch raha hai abhi,kuch,URD
Mera mind kuch aur soch raha hai abhi,aur,URD
Mera mind kuch aur soch raha hai abhi,soch,URD
Mera mind kuch aur soch raha hai abhi,raha,URD
Mera mind kuch aur soch raha hai abhi,hai,URD
Mera mind kuch aur soch raha hai abhi,abhi,URD
Rasta bohot jam tha isliye late ho gaya,Rasta,URD
Rasta bohot jam tha isliye late ho gaya,bohot,URD
Rasta bohot jam tha isliye late ho gaya,jam,URD
Rasta bohot jam tha isliye late ho gaya,tha,URD
Rasta bohot jam tha isliye late ho gaya,isliye,URD
Rasta bohot jam tha isliye late ho gaya,late,ENG
Rasta bohot jam tha isliye late ho gaya,ho,URD
Rasta bohot jam tha isliye late ho gaya,gaya,URD
Yeh recipe try karni hai weekend pe,Yeh,URD
Yeh recipe try karni hai weekend pe,recipe,ENG
Yeh recipe try karni hai weekend pe,try,ENG
Yeh recipe try karni hai weekend pe,karni,URD
Yeh recipe try karni hai weekend pe,hai,URD
Yeh recipe try karni hai weekend pe,weekend,ENG
Yeh recipe try karni hai weekend pe,pe,URD
Mera roommate bohot messy hai yaar,Mera,URD
Mera roommate bohot messy hai yaar,roommate,ENG
Mera roommate bohot messy hai yaar,bohot,URD
Mera roommate bohot messy hai yaar,messy,ENG
Mera roommate bohot messy hai yaar,hai,URD
Mera roommate bohot messy hai yaar,yaar,URD
Aj ka din kaafi productive raha honestly,Aj,URD
Aj ka din kaafi productive raha honestly,ka,URD
Aj ka din kaafi productive raha honestly,din,URD
Aj ka din kaafi productive raha honestly,kaafi,URD
Aj ka din kaafi productive raha honestly,productive,ENG
Aj ka din kaafi productive raha honestly,raha,URD
Aj ka din kaafi productive raha honestly,honestly,MIX
Mujhe iska solution samajh nahi araha,Mujhe,URD
Mujhe iska solution samajh nahi araha,iska,URD
Mujhe iska solution samajh nahi araha,solution,ENG
Mujhe iska solution samajh nahi araha,samajh,URD
Mujhe iska solution samajh nahi araha,nahi,URD
Mujhe iska solution samajh nahi araha,araha,URD
Kal ka paper kaisa gaya tumhara,Kal,URD
